WT,Tg
-56.3,-51.1
-53.67,-49.4
-52.356,-49.24
-51.5,-49.13
-49.6,-48.68
-49.3,-48.6
-48.95,-47.9
-47.97,-47.8
-47.4,-47.4
-46.8,-47
-46.48,-46.9
-46.3,-46.62
-46,-46.5
-45.9,-46.4
-45.74,-46.1
-44.7,-45.9
-44.36,-45.31
-44.3,-44.74
-42.9,-44.6
-42.8,-44.3
-42.24,-43.92
-42.2,-43.78
-42.08,-42.7
-41.69,-42.3
-41.3,-39.575
-41.05,-38.4
-40.1,-37.21
-39.86,-36.63
-39.83,-34.6
-39.5,-31.5
-39.43,-26.5
-39,-23.8
-38,
-37.35,
-36.82,
-33.6,
-32.56,
