WT,Tg
0,0.22
0.000673,0.58
0.005,0.656
0.007,0.685
0.008,0.69
0.016,0.708
0.019,0.727
0.02,0.802
0.021,0.891
0.022,0.924
,0.936
,0.954
,1.093
,1.179
,1.184
,1.29
