WT,Tg
-86,-98
-79,-80
-78.6,-80
-78,-78.4
-77,-76
-76,-76
-75,-76
-75,-75
-75,-75
-75,-74
-75,-74
-74,-73
-73,-73
-72,-73
-72,-70
-72,-70
-72,-69
-71,-69
-70,-68
-68,-68
-68,-66
-67.3,-66
-67,-66
-67,-65
-66,-64
-66,-64
-66,-63
-66,-63
-66,-60
-65,-60
-65,-52
-65,-50
-60,
-56,
-55,
-55,
-51,
