WT,Tg
-8.22,-8.965
-8.02,-7.09
-7.2,-6.6
-6.62,-6.13
-6.4,-5.35
-5.83,-5
-5.7,-4.84
-4.96,-4.8
-4.75,-4.63
-4.652,-3.6
-4.6,-3.12
-4.4,-3.1
-4.22,-2.8
-3.98,-2.79
-3.87,-2.78
-3.2,-2.19
-3.2,-2.18
-3.02,-2.13
-2.94,-2.1
-2.75,-2.03
-2.2,-2.002
-2.132,-1.99
-1.92,-1.71
-1.89,-1.4
-1.87,-1.16
-1.683,-1.15
-1.62,-1.038
-1.55,-0.696
-1.54,-0.6
-1.4,-0.46
-0.9,0
-0.801,0
-0.67,
-0.445,
0,
0.09,
0.52,
