WT,Tg
-5.89,-11.71
-5.75,-3.96
-3.28,-2.27
-2.29,-1.92
-2.28,-1.48
-1.74,-1.03
-1.59,-0.76
-1.57,-0.57
-1.38,-0.42
-0.98,-0.42
-0.52,-0.4
-0.43,-0.3
-0.43,-0.27
-0.35,-0.26
-0.35,-0.23
-0.26,-0.21
-0.18,-0.16
-0.01,-0.16
0,-0.12
0.03,-0.08
0.04,0.03
0.11,0.06
0.13,0.13
0.16,0.15
0.26,0.2
0.3,0.24
0.3,0.26
0.34,0.34
0.47,0.45
0.51,0.67
0.56,0.72
0.59,0.77
0.76,
0.79,
0.92,
0.94,
1.13,
